date,month,place_name,round,race_id,morning_rank,post_rate_pct,rule,buy,points,stake_yen,payback_yen,payout_yen,trifecta,hit,is_manshu,is_over5000,heads,axes,keshi,tickets,checks
2025-04-12,2025-04,江戸川,4,2025-04-120304,9,36.11,skip_missing_exhibition,0,0,0,0,6620,216,0,0,1,,,,,展示/1周6艇未満
2025-04-12,2025-04,若松,10,2025-04-122010,10,32.64,skip_rate_ng,0,0,0,0,3720,213,0,0,0,,,,,展示後38%未満:NG(32.64%)
2025-04-13,2025-04,江戸川,7,2025-04-130307,1,35.7,skip_missing_exhibition,0,0,0,0,7500,132,0,0,1,,,,,展示/1周6艇未満
2025-04-13,2025-04,津,4,2025-04-130904,2,31.54,skip_missing_exhibition,0,0,0,0,8560,421,0,0,1,,,,,展示/1周6艇未満
2025-04-13,2025-04,江戸川,11,2025-04-130311,3,31.14,skip_missing_exhibition,0,0,0,0,5770,452,0,0,1,,,,,展示/1周6艇未満
2025-04-13,2025-04,平和島,4,2025-04-130404,4,38.29,skip_subcore_conditions_ng,0,0,0,0,4460,315,0,0,0,,,,,"展示後38〜39.9%:OK(38.29%) / 1号艇危険:OK / 1AI予測19.0% / 1逃げ25.9% / 1逃げ失敗59.2% / 1展示+周平均との差-0.15 / 外頭2艇の2番手まで強い:OK(頭3,4,下限33.8) / 5/6絡み:NG / 内軸残り:NG(軸2) / 軸ルール:AI3連対率+一般3連対率の1位と3位（頭と重なる時はAI3連対率+一般3連対率の2位と3位で補完）"
2025-04-13,2025-04,芦屋,10,2025-04-132110,5,30.64,skip_missing_exhibition,0,0,0,0,20750,146,0,1,1,,,,,展示/1周6艇未満
2025-04-13,2025-04,多摩川,6,2025-04-130506,6,32.94,skip_rate_ng,0,0,0,0,25910,364,0,1,1,,,,,展示後38%未満:NG(32.94%)
2025-04-13,2025-04,戸田,6,2025-04-130206,7,31.47,skip_rate_ng,0,0,0,0,4300,234,0,0,0,,,,,展示後38%未満:NG(31.47%)
2025-04-13,2025-04,唐津,9,2025-04-132309,8,29.16,skip_rate_ng,0,0,0,0,1430,216,0,0,0,,,,,展示後38%未満:NG(29.16%)
