date,rank,place,round,source_kind,manshu_rate_pct,heads,axes,keshi,points,tickets,result,payout,result_manshu,hit,hit_manshu,stake,return,profit,race_id
2026-06-03,3,住之江,11,saved,33.87,3-4,1-3,5,15,3-1-2 3-1-4 3-1-6 3-2-1 3-4-1 3-6-1 4-1-3 4-1-6 4-2-1 4-2-3 4-3-1 4-3-2 4-3-6 4-6-1 4-6-3,1-5-3,3740,False,False,False,1500,0,-1500,2026-06-031211
2026-06-03,6,大村,10,saved,32.96,3-6,1-6,4,15,3-1-5 3-1-6 3-2-1 3-2-6 3-5-1 3-5-6 3-6-1 3-6-2 3-6-5 6-1-2 6-1-3 6-1-5 6-2-1 6-3-1 6-5-1,6-3-1,2760,False,True,False,1500,2760,1260,2026-06-032410
2026-06-03,8,若松,9,saved,32.21,3-6,1-6,4,15,3-1-5 3-1-6 3-2-1 3-2-6 3-5-1 3-5-6 3-6-1 3-6-2 3-6-5 6-1-2 6-1-3 6-1-5 6-2-1 6-3-1 6-5-1,1-6-4,2060,False,False,False,1500,0,-1500,2026-06-032009
2026-06-03,9,下関,10,saved,32.17,5-6,1-4,3,15,5-1-2 5-1-4 5-1-6 5-2-1 5-2-4 5-4-1 5-4-2 5-4-6 5-6-1 5-6-4 6-1-4 6-1-5 6-4-1 6-4-2 6-4-5,1-3-6,4560,False,False,False,1500,0,-1500,2026-06-031910
2026-06-05,7,常滑,9,saved,33.3,3-5,1-2,4,15,3-1-5 3-1-6 3-2-5 3-2-6 3-5-1 3-5-2 3-6-1 3-6-2 5-1-3 5-1-6 5-2-1 5-2-3 5-2-6 5-3-1 5-3-2,1-3-2,490,False,False,False,1500,0,-1500,2026-06-050809
2026-06-06,10,徳山,11,saved,32.94,5-3,5-3,4,12,3-1-5 3-2-5 3-5-1 3-5-2 3-5-6 3-6-5 5-1-3 5-2-3 5-3-1 5-3-2 5-3-6 5-6-3,3-5-1,4390,False,True,False,1200,4390,3190,2026-06-061811
2026-06-09,2,蒲郡,12,saved,34.04,3-6,1-4,5,15,3-1-4 3-1-6 3-4-1 3-4-6 3-6-1 3-6-4 6-1-3 6-1-4 6-2-1 6-2-4 6-3-1 6-3-4 6-4-1 6-4-2 6-4-3,3-1-2,3340,False,False,False,1500,0,-1500,2026-06-090712
2026-06-09,10,蒲郡,11,saved,31.91,4-6,1-4,5,15,4-1-3 4-1-6 4-2-1 4-3-1 4-6-1 6-1-2 6-1-3 6-1-4 6-2-1 6-2-4 6-3-1 6-3-4 6-4-1 6-4-2 6-4-3,1-4-5,1690,False,False,False,1500,0,-1500,2026-06-090711
2026-06-10,2,鳴門,9,saved,37.26,3-4,4-2,5,15,3-1-2 3-1-4 3-2-1 3-2-4 3-2-6 3-4-1 3-4-2 3-4-6 3-6-2 3-6-4 4-2-1 4-2-3 4-2-6 4-3-2 4-6-2,3-2-1,5440,False,True,False,1500,5440,3940,2026-06-101409
2026-06-11,7,唐津,9,saved,33.69,4-5,4-1,3,15,4-1-5 4-1-6 4-2-1 4-5-1 4-6-1 5-1-2 5-1-4 5-1-6 5-2-1 5-2-4 5-4-1 5-4-2 5-4-6 5-6-1 5-6-4,1-5-6,19850,True,False,False,1500,0,-1500,2026-06-112309
2026-06-11,8,丸亀,9,saved,33.29,3-5,3-2,6,15,3-2-1 3-2-4 3-2-5 3-4-2 3-5-2 5-1-2 5-1-3 5-2-1 5-2-3 5-2-4 5-3-1 5-3-2 5-3-4 5-4-2 5-4-3,5-3-2,21950,True,True,True,1500,21950,20450,2026-06-111509
2026-06-12,4,三国,9,saved,33.84,5-3,1-3,4,15,3-1-5 3-1-6 3-2-1 3-5-1 3-6-1 5-1-2 5-1-3 5-1-6 5-2-1 5-2-3 5-3-1 5-3-2 5-3-6 5-6-1 5-6-3,4-5-3,7510,False,False,False,1500,0,-1500,2026-06-121009
2026-06-15,9,芦屋,12,saved,32.29,4-6,1-3,5,15,4-1-3 4-1-6 4-3-1 4-3-6 4-6-1 4-6-3 6-1-3 6-1-4 6-2-1 6-2-3 6-3-1 6-3-2 6-3-4 6-4-1 6-4-3,1-4-5,1260,False,False,False,1500,0,-1500,2026-06-152112
2026-06-17,9,宮島,10,saved,34.14,3-5,1-5,4,15,3-1-5 3-1-6 3-2-1 3-2-5 3-5-1 3-5-2 3-5-6 3-6-1 3-6-5 5-1-2 5-1-3 5-1-6 5-2-1 5-3-1 5-6-1,1-3-5,860,False,False,False,1500,0,-1500,2026-06-171710
2026-06-21,10,下関,11,saved,34.14,4-5,1-3,6,15,4-1-3 4-1-5 4-3-1 4-3-5 4-5-1 4-5-3 5-1-3 5-1-4 5-2-1 5-2-3 5-3-1 5-3-2 5-3-4 5-4-1 5-4-3,1-4-3,1050,False,False,False,1500,0,-1500,2026-06-211911
2026-06-23,7,浜名湖,12,saved,34.14,3-5,1-2,6,15,3-1-4 3-1-5 3-2-1 3-2-5 3-5-1 3-5-2 5-1-3 5-1-4 5-2-1 5-2-3 5-2-4 5-3-1 5-3-2 5-4-1 5-4-2,1-2-6,4570,False,False,False,1500,0,-1500,2026-06-230612
2026-06-23,9,蒲郡,10,saved,34.14,4-5,1-2,3,15,4-1-5 4-1-6 4-2-5 4-2-6 4-5-1 4-5-2 4-6-1 4-6-2 5-1-4 5-1-6 5-2-1 5-2-4 5-2-6 5-4-1 5-4-2,1-5-4,2920,False,False,False,1500,0,-1500,2026-06-230710
