condition_type,condition_name,feature,value,n,manshu_n,manshu_rate,diff_vs_baseline,lift,ci95_low,ci95_high,p_value,mean_payout,median_payout,max_payout,train_n,train_rate,valid_n,valid_rate,reproducibility,priority,notes
single,time_zone = evening,time_zone,evening,2642,420,0.15897047691143074,-0.003044086195365392,0.9812110335207409,0.14552404769313024,0.17340721410273843,0.671094004361882,6960.938682816049,2325.0,272180,1896,0.15084388185654007,746,0.17962466487935658,再現あり,参考,
single,venue_name = 住之江,venue_name,住之江,537,85,0.15828677839851024,-0.003727784708285886,0.976991051688183,0.12985559554108247,0.19157234195484976,0.8146388029642071,6664.990689013035,2240,186060,386,0.14766839378238342,151,0.18543046357615894,再現あり,参考,
single,jcd = 12,jcd,12,537,85,0.15828677839851024,-0.003727784708285886,0.976991051688183,0.12985559554108247,0.19157234195484976,0.8146388029642071,6664.990689013035,2240,186060,386,0.14766839378238342,151,0.18543046357615894,再現あり,参考,
single,day_label = ３日目,day_label,３日目,2351,372,0.15823054019566143,-0.0037840229111346935,0.9766439334923221,0.1440368884038226,0.1735392916670578,0.6185200338750079,6836.550404083368,2580,345080,1630,0.16503067484662576,721,0.14285714285714285,検証で低下,参考,
single,wind_speed_bucket = 0-1m,wind_speed_bucket,0-1m,2795,442,0.15813953488372093,-0.0038750282230752,0.9760822228028917,0.1450827834513512,0.17213473968393447,0.5782145989300804,6822.2397137745975,2350,336710,2000,0.143,795,0.19622641509433963,再現あり,参考,
single,final_race = 1,final_race,1,734,116,0.15803814713896458,-0.003976415967831548,0.9754564287828225,0.13343747878799336,0.18619968994849426,0.7699976861257929,7815.66757493188,1870.0,217490,511,0.14481409001956946,223,0.18834080717488788,再現あり,参考,
single,wind_speed_bucket = 2-3m,wind_speed_bucket,2-3m,6271,991,0.15802902248445225,-0.0039855406223438805,0.9754001088178924,0.14921044850207954,0.16726632120633828,0.3916852778688371,6958.40535799713,2350,421190,4316,0.15477293790546803,1955,0.16521739130434782,検証で低下,参考,
single,lane1_class = A2,lane1_class,A2,3560,561,0.15758426966292136,-0.004430293443874772,0.972654967807095,0.14598532853829244,0.16992141658752907,0.4731264463222762,7001.603932584269,2130.0,345080,2456,0.15920195439739412,1104,0.1539855072463768,検証で低下,参考,
single,a1_count = 2,a1_count,2,2435,382,0.15687885010266941,-0.005135713004126713,0.9683009174876374,0.1429750520115024,0.17186359925637829,0.49158592273755874,7012.287474332649,2160,259060,1759,0.1512222853894258,676,0.17159763313609466,再現あり,参考,
single,wave_bucket = 0-1cm,wave_bucket,0-1cm,4567,716,0.15677687760017517,-0.005237685506620959,0.967671514176362,0.1465206765566083,0.16761000782326604,0.3367343273585819,6700.71600613094,2240,336710,3157,0.14634146341463414,1410,0.18014184397163122,再現あり,参考,
single,race_no = 11,race_no,11,1093,171,0.1564501372369625,-0.0055644258698336335,0.9656547796498658,0.1361202924281375,0.17918649389360675,0.6175894227798842,7848.838060384263,1910,197220,765,0.16862745098039217,328,0.12804878048780488,検証で低下,参考,
single,day_label = ４日目,day_label,４日目,2092,327,0.15630975143403442,-0.0057048116727617115,0.9647882785141899,0.1413794355625068,0.17250001028874454,0.47885046193958924,6793.62810707457,2315.0,292980,1468,0.14713896457765668,624,0.1778846153846154,再現あり,参考,
single,venue_name = 大村,venue_name,大村,557,87,0.1561938958707361,-0.005820667236060034,0.9640731849998991,0.12841053454961013,0.1886871985714708,0.7092786437040957,6554.183123877918,2120,272180,392,0.1377551020408163,165,0.2,再現あり,参考,
single,jcd = 24,jcd,24,557,87,0.1561938958707361,-0.005820667236060034,0.9640731849998991,0.12841053454961013,0.1886871985714708,0.7092786437040957,6554.183123877918,2120,272180,392,0.1377551020408163,165,0.2,再現あり,参考,
single,race_no = 12,race_no,12,1091,170,0.15582034830430797,-0.006194214802488163,0.9617675430917585,0.1355103525747956,0.1785456716025831,0.5787107262570284,6798.634280476627,1870,222920,762,0.14304461942257218,329,0.18541033434650456,再現あり,参考,
single,race_no = 4,race_no,4,1100,171,0.15545454545454546,-0.0065600176522506715,0.9595097037793666,0.13524454766106325,0.1780627239619667,0.5548680742161054,6779.154545454546,2600.0,292980,773,0.15523932729624837,327,0.1559633027522936,検証で低下,参考,
single,lane1_exhibition_rank4plus = 0,lane1_exhibition_rank4plus,0,9113,1411,0.15483375397783386,-0.007180809128962268,0.9556780020804126,0.1475520676510028,0.16240632846723183,0.06282745598555617,6813.637660485021,2270,336710,6384,0.15068922305764412,2729,0.16452913155001833,検証で低下,参考,
