condition_type,condition_name,feature,value,n,manshu_n,manshu_rate,diff_vs_baseline,lift,ci95_low,ci95_high,p_value,mean_payout,median_payout,max_payout,train_n,train_rate,valid_n,valid_rate,reproducibility,priority,notes
single,a1_count = 6,a1_count,6,104,16,0.15384615384615385,-0.009274413529732684,0.94314381270903,0.09697218287895283,0.23538193649613065,0.7979611456582631,5347.403846153846,1920.0,58100,64,0.1875,40,0.1,検証で低下,参考,
single,outer_a_count = 1,outer_a_count,1,374,58,0.15508021390374332,-0.008040353472143213,0.9507091374099047,0.12191948965746977,0.19525469126914072,0.6738661732559486,6841.417112299465,2535.0,126040,224,0.16071428571428573,150,0.14666666666666667,検証で低下,参考,
single,outer_a_count = 0,outer_a_count,0,190,28,0.14736842105263157,-0.015752146323254973,0.903432494279176,0.10396825877158991,0.20474566022206261,0.5567563522779286,6508.526315789473,1880.0,82350,109,0.12844036697247707,81,0.1728395061728395,再現あり,参考,
single,outer_a_count = 2,outer_a_count,2,263,48,0.18250950570342206,0.01938893832753552,1.1188626219209785,0.14050930810797027,0.23365124257078448,0.39475135506311587,8561.825095057035,2490,136000,141,0.2127659574468085,122,0.14754098360655737,検証で低下,参考,
single,outer_a_count = 3,outer_a_count,3,160,27,0.16875,0.005629432624113473,1.0345108695652174,0.11864352018350914,0.2343901415971375,0.847174081392015,6663.9375,1875.0,222920,101,0.19801980198019803,59,0.11864406779661017,検証で低下,参考,
single,outer_a1_count = 1,outer_a1_count,1,326,58,0.17791411042944785,0.014793543053561314,1.0906908508935715,0.14022215141039884,0.22310861099191798,0.4697239716734978,8228.159509202455,2675.0,136000,195,0.2,131,0.1450381679389313,検証で低下,参考,
single,outer_a1_count = 0,outer_a1_count,0,508,78,0.15354330708661418,-0.00957726028927236,0.9412872304005477,0.12480310638770228,0.1874841324768214,0.5590624276386191,6523.641732283465,2045.0,134480,288,0.14930555555555555,220,0.1590909090909091,再現あり,参考,
single,outer_a1_count = 2,outer_a1_count,2,44,8,0.18181818181818182,0.018697614442295285,1.1146245059288538,0.09512692558258555,0.3196083675514233,0.7371114531320075,11588.863636363636,2270.0,222920,24,0.20833333333333334,20,0.15,再現あり,参考,
single,outer_a1_count = 3,outer_a1_count,3,109,17,0.1559633027522936,-0.007157264623592952,0.956122856003191,0.09971462165945087,0.23563687991443671,0.839726388721991,5568.807339449541,1950,58100,68,0.19117647058823528,41,0.0975609756097561,検証で低下,参考,
single,lane1_exhibition_rank4plus = 1,lane1_exhibition_rank4plus,1,289,55,0.1903114186851211,0.02719085130923457,1.1666917406348727,0.14923035082710445,0.23951769589849736,0.21090441310195374,7584.498269896194,2470,110870,147,0.2108843537414966,142,0.16901408450704225,再現あり,中,
single,lane1_exhibition_rank4plus = 0,lane1_exhibition_rank4plus,0,698,106,0.1518624641833811,-0.011258103192505448,0.9309829326024666,0.12714788266402738,0.18038817675450808,0.42080764951538296,7050.687679083095,2155.0,222920,428,0.16121495327102803,270,0.13703703703703704,検証で低下,参考,
single,outer_exhibition_top_flag = 1,outer_exhibition_top_flag,1,718,121,0.16852367688022285,0.005403109504336312,1.033123410439627,0.14292281441370228,0.19765273567928213,0.6951688276843817,7415.208913649025,2235.0,222920,421,0.17814726840855108,297,0.15488215488215487,再現あり,参考,
single,outer_exhibition_top_flag = 0,outer_exhibition_top_flag,0,269,40,0.14869888475836432,-0.014421682617522219,0.9115888152577986,0.1111385593539718,0.1961518245171094,0.5220515950826266,6651.226765799256,2290,86830,154,0.16233766233766234,115,0.13043478260869565,検証で低下,参考,
single,early_race = 1,early_race,1,330,51,0.15454545454545454,-0.008575112830431997,0.9474308300395256,0.11954180149821625,0.1974995738127096,0.6733096344543119,7703.757575757576,2735.0,136000,194,0.15979381443298968,136,0.14705882352941177,検証で低下,参考,
single,early_race = 0,early_race,0,657,110,0.167427701674277,0.004307134298390469,1.0264046059162197,0.14082906808243773,0.19789294941767122,0.7650901855310543,6957.473363774734,2100,222920,381,0.18110236220472442,276,0.14855072463768115,再現あり,参考,
single,fixed_entry = 0,fixed_entry,0,967,160,0.1654601861427094,0.0023396187668228707,1.014342880266175,0.14337147017187563,0.19019643627135874,0.8438962818605531,7260.1034126163395,2270,222920,564,0.1773049645390071,403,0.1488833746898263,再現あり,参考,
single,semi_final = 0,semi_final,0,945,154,0.16296296296296298,-0.0001576044129235621,0.9990338164251208,0.14078750893510708,0.1878675584649732,0.9895377261273135,7175.111111111111,2310,222920,553,0.1717902350813743,392,0.15051020408163265,再現あり,参考,
single,semi_final = 1,semi_final,1,42,7,0.16666666666666666,0.003546099290780119,1.0217391304347825,0.08315811295836502,0.30604296204774295,0.9504036374034754,7924.285714285715,1470.0,134480,22,0.22727272727272727,20,0.1,検証で低下,参考,
single,final_race = 0,final_race,0,929,150,0.16146393972012918,-0.001656627655757359,0.9898441521973136,0.1392039900109912,0.18651218731214708,0.891298170472246,7150.893433799784,2300,222920,544,0.16911764705882354,385,0.15064935064935064,再現あり,参考,
single,final_race = 1,final_race,1,58,11,0.1896551724137931,0.026534605037906556,1.1626686656671663,0.10934140042567436,0.3085261838541631,0.584418976885889,8105.517241379311,1650.0,134480,31,0.25806451612903225,27,0.1111111111111111,検証で低下,中,
