condition_count,condition,atom_ids,races,manshu_races,manshu_rate_pct,lift_vs_all,recent_races_2025_plus,recent_manshu_races_2025_plus,recent_manshu_rate_pct,avg_payout_yen,b1_fly_pct,outer56_top3_pct,rank6_top3_pct,winner_3to6_pct,score
5,1号艇AI予測30%未満 × 5/6号艇に展示2位以内 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内,"b1_ai_pred_lt30,outer56_tenji_top2,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2",264,71,26.89,1.599,161,44,27.33,8245,49.62,81.82,30.68,55.68,34.8135
5,1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+5位が展示2位以内 × 前半1〜6R,"b1_ai_pred_lt30,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank5_tenji_top2,front_1_6r",200,58,29.0,1.725,120,32,26.67,10410,48.5,85.5,27.5,57.0,34.7821
5,1号艇AI予測30%未満 × 5/6号艇AI+最大110以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内 × 前半1〜6R,"b1_ai_pred_lt30,outer56_aiplus_ge110,rank6_avgdiff_ge010,rank6_tenji_top2,front_1_6r",218,59,27.06,1.609,128,36,28.12,8292,47.25,78.44,30.28,58.26,34.7788
5,1号艇逃げ失敗40%以上 × 5/6号艇平均との差0.14以上 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × AI+5位が展示2位以内,"b1_loss_ge40,outer56_avgdiff_ge014,outer56_ai_pred_ge12,rank6_tenji_top2,rank5_tenji_top2",179,49,27.37,1.628,105,30,28.57,8595,41.34,79.89,20.67,54.75,34.7667
5,1号艇逃げ率40%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内 × 前半1〜6R,"b1_nige_lt40,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2,front_1_6r",377,105,27.85,1.656,225,61,27.11,9122,39.52,79.58,27.06,50.93,34.7332
5,1号艇AI予測30%未満 × 5/6号艇AI+最大110以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内 × AI+最下位が5/6号艇,"b1_ai_pred_lt30,outer56_aiplus_ge110,rank6_avgdiff_ge010,rank6_tenji_top2,rank6_boat_56",177,49,27.68,1.646,108,31,28.7,7773,48.02,77.97,28.81,51.98,34.6673
7,1号艇展示4位以下 × 1号艇AI+順位4位以下 × 5/6号艇平均との差0.10以上 × 5/6号艇AI予測最大12%以上 × 5/6号艇AI+最大110以上 × AI+最下位が3〜6号艇 × 前半1〜6R,"b1_tenji_ge4,b1_aiplus_rank_ge4,outer56_avgdiff_ge010,outer56_ai_pred_ge12,outer56_aiplus_ge110,rank6_boat_36,front_1_6r",264,71,26.89,1.599,164,47,28.66,8913,60.98,81.82,23.86,53.79,34.6619
5,1号艇AI予測25%未満 × 5/6号艇に展示2位以内 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内,"b1_ai_pred_lt25,outer56_tenji_top2,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2",185,50,27.03,1.607,114,31,27.19,7862,52.43,80.54,29.19,56.22,34.6257
5,1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内 × AI+最下位が3〜6号艇,"b1_ai_pred_lt30,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2,rank6_boat_36",264,71,26.89,1.599,162,44,27.16,8429,48.48,79.92,28.79,54.55,34.571
5,1号艇平均との差0以下 × 1号艇逃げ率40%未満 × 5/6号艇平均との差どちらも0以上 × AI+5位が展示2位以内 × 1〜3R,"b1_avgdiff_le0,b1_nige_lt40,outer56_both_not_bad,rank5_tenji_top2,round_1_3",170,51,30.0,1.784,94,27,28.72,10680,34.71,67.65,25.29,49.41,34.5592
5,1号艇逃げ失敗40%以上 × 1号艇逃げ率40%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.14以上 × 1〜3R,"b1_loss_ge40,b1_nige_lt40,outer56_ai_pred_ge12,rank6_avgdiff_ge014,round_1_3",350,93,26.57,1.58,203,54,26.6,9631,42.0,79.71,28.29,55.71,34.5327
5,1号艇逃げ率45%未満 × 1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × AI+最下位平均との差0.14以上,"b1_nige_lt45,b1_ai_pred_lt30,outer56_ai_pred_ge12,rank6_tenji_top2,rank6_avgdiff_ge014",245,68,27.76,1.651,151,40,26.49,8277,51.43,83.27,33.47,56.33,34.522
5,1号艇AI+順位4位以下 × 1号艇AI予測25%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × 1〜3R,"b1_aiplus_rank_ge4,b1_ai_pred_lt25,outer56_ai_pred_ge12,rank6_tenji_top2,round_1_3",253,66,26.09,1.551,97,31,31.96,8531,62.85,79.84,22.13,64.03,34.4851
5,1号艇逃げ失敗40%以上 × 1号艇展示5位以下 × 5/6号艇AI予測最大12%以上 × AI+5位が展示2位以内 × 1〜3R,"b1_loss_ge40,b1_tenji_ge5,outer56_ai_pred_ge12,rank5_tenji_top2,round_1_3",425,115,27.06,1.609,128,39,30.47,9286,40.71,75.29,17.41,51.06,34.4371
5,1号艇逃げ失敗45%以上 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内 × 前半1〜6R,"b1_loss_ge45,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2,front_1_6r",229,62,27.07,1.61,133,36,27.07,8421,41.48,79.48,26.2,52.4,34.4328
5,1号艇AI予測30%未満 × 5/6号艇に1周2位以内 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × AI+最下位平均との差0.14以上,"b1_ai_pred_lt30,outer56_isshu_top2,outer56_ai_pred_ge12,rank6_tenji_top2,rank6_avgdiff_ge014",193,51,26.42,1.571,127,35,27.56,7714,52.85,83.42,36.27,58.03,34.4302
5,1号艇展示5位以下 × 1号艇AI予測25%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.14以上 × AI+最下位が3〜6号艇,"b1_tenji_ge5,b1_ai_pred_lt25,outer56_ai_pred_ge12,rank6_avgdiff_ge014,rank6_boat_36",165,44,26.67,1.586,91,24,26.37,8488,55.15,80.0,24.24,65.45,34.3967
5,1号艇AI予測25%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × AI+5位平均との差0.10以上 × 前半1〜6R,"b1_ai_pred_lt25,outer56_ai_pred_ge12,rank6_tenji_top2,rank5_avgdiff_ge010,front_1_6r",175,47,26.86,1.597,101,32,31.68,9216,56.0,78.86,20.0,58.29,34.3834
5,1号艇AI予測25%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × 前半1〜6R × 1〜3R,"b1_ai_pred_lt25,outer56_ai_pred_ge12,rank6_tenji_top2,front_1_6r,round_1_3",580,149,25.69,1.528,202,61,30.2,8625,56.21,81.38,24.66,58.45,34.375
5,1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.14以上 × AI+5位が展示2位以内 × 前半1〜6R,"b1_ai_pred_lt30,outer56_ai_pred_ge12,rank6_avgdiff_ge014,rank5_tenji_top2,front_1_6r",165,47,28.48,1.694,101,27,26.73,9319,45.45,84.85,26.67,55.76,34.3678
5,1号艇逃げ率45%未満 × 1号艇AI+順位4位以下 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × AI+5位が展示2位以内,"b1_nige_lt45,b1_aiplus_rank_ge4,outer56_ai_pred_ge12,rank6_tenji_top2,rank5_tenji_top2",167,44,26.35,1.567,65,18,27.69,7856,58.08,83.23,19.76,61.68,34.3606
